Marqaa gubataa, nama hubataatu arga.
Odoo horiin hin galiin, hattuun foonaa guutte.
Odoo horiin hin galiin, hattuun qe'ee guutte.
Odoo mana hin ijaariin, hindaanqoo himbitan. 
"Odoo na jaallatee, akka abbaa kiyyaatitti na kukkuta," jette qomaaxaan.
"Odoon akka du'u beekee, maafan dhaladha,"
jedhe jaarsi du'a gaye.
Odoon akkan kufu beekee, maafan caba. 
"Odoon akka machaawu beekee, maafan araqee
dhugaa," jedhe machooftuun.
"Odoon beeku, huuba wajjiin," jette sareen.
Odooniifi'eegeen, dugda duuba jedhani.
Odooniifi 'eegeen, dugda duuba oola.
"Odoo niitiin qodaa ishii qadaaddatullee, nama arraabsitee," jette sareen.
Odoon kofluu, gubadha jette talbaan.
Odoon kolfuu, gubadhe jette talbaan.
Odoon dhaliin, fardi kooraa baata.
Namni dhagaarra taa'eefi daa'ima wajjiin haasaye, booda gaabba.
Namni dhagaarra taa'eefi namni soddaan lole, booda gaabba.
Namni dhaqa beeku, gala beeka.
Namni dheerateef, mataa of hin argu.
Namni dheedhii nyaatu, garaa ofii hin amanu.
Namni dheedhii nyaatu, garaa ufii hin amanu.
Namni dhugaa hin quufne, dhugaatiinuu hin quubsu.
Namni dhugaa hubate, gufuu isa qunnamu hin sodaatu.
Namni dhukkuba ofii dhokfate, qoricha hin argatu.
Namni nyaate, nama hin nyaatu.
Namni nyaatu, nama nyaachisa.
Namtichi 'aare, haadha mucaa hin gawu.
Nadheeniifi fardi, galgala baddi.
Nadheen, ijoollummaa hin qabdu.
Nadheen lama hin beektu, takka hin wallaaltu.
Nadheen mana hin qabdu, mana dhiiraa bulti 
Nadheen mana hin qabne, mana dhiira bulti
Nadheen muraniifis, hoo muruu baataniifis, booh hin dhiistu.
Nadheen quufte, waasii gaangee taati.,
Nadheen quufte, wabii gaangee taati.
Nadheen takka beekti malee lama hin beektu.
Nadheen dheertuu qabdi malee, beektuu hin qabdu.
Na dhungadhu jennaan, na ciniinte. 
"Na nyaattu na nyaatta malee, yaa waruu bishaan ol hin yaa'u," jette gamaleen.tiddub nos
"Na nyaattu na nyaadhu malee, bishaan ol hin yaa'u," jette harreen waraabessaan.
Obbeektuun, soddaa lagatti. 
Obboleessatti galuutti, niitiin orma.
Obboleessi, hiriyaa namaa hin ta'u.
"Obboleessi kee du'e jennaan, hamaan ollaa kiyyatuu du'e" jedhe.
Oboleessi, namaa utubaadha.
Obboleettii gaariin, obboleessarraa ulfoofti
"Obboleettii gowwaan, hamma niitii nan jaalattu jette obboleessaan.
Obboon nyaachaa bulu, irboon jala hin bulu.
Obsaan, 'aannan goromsaati dhuga.
Obsaan, 'aannan goromsaa dhuga.
Obsaatu, 'aannan goromsaa dhuga.
Obsaatu,daadhii bara egeree dhuga.
Obsa dadhabaaf, kajeeltuu ta'an.
Ni tura malee, harreen tan bineensaati. 
"Ni nyaanna malee, ni dhalchinaa," jedhe 'oolaan. 
Ni nyaannaan, nama nyaata.
Ni nyaannaan, nama nyaatti.
"Nu boolloon nu duudee, baddaarra ciifna," jette dhekeraan.
"Nu boolloon nu diddee baddaarra ciisna," jette dhekeraan.
"Nu hawwanii, qalamii mooji," jette hoolaan.
Nu kana hin beeknu, boroo abbaatu dongorata.
Nus lachuu gamna, wal hin gowwomsinu.
"Nus takka diimanneerra," jette nuugiin.
Namni, waan hin argiin abjoota.
Namni waan qabu hin beekne, waan dhabu hin beeku.
Namni, waan qabuun gabaa ba'a.
Namni, waanuma facaase murata.
Namni waan nyaataa hin qabne, akaayii nyaatee harka arraaba.
Namni waa qabu akka waa nyaatee, harka arraaba. 
Namni warra qabu, gosa qaba.
Namni yaa Waaqii hin dhiisu, Waaqni kan qabe hin gadhisu.
Namni yaa Waaqii hin dhiisu, Waaqni waan murate hin dhiisu.
"Namni yaa Waaqi" jedhe, waaqarraa hin dhabu.
Namni yaraan, waamicharra kajeellaa jaalata.
Namni yartuun, waan nama qaanessu naamaan jetti.
Oni hin qabdu hinyaattuu, amala hin qabduu kan namaa hinyaattu.
Ofil hin qabdu, dhagaatti uwwisti billaachon.
"Ofii hinyaattu, namaaf hillaattu," jette jaartiin kormaa hindaanqoon.
Ofii hinyaattu, namaa hillaattu.
"Ofii hinyaattuu, namaa hillaattuu cooma mataa kee," jedhe gowwaan kormaa hindaaqqootiin.
Ofii hinyaatu namaa hillaattu, foon mataatti baata kormaan indaanqoo.
Ofii iyyatan, ollaan namaa mirmata.
"Ofil jettu mi'aayi, anaa jettu busaal," jedhan soogiddaan.
Ofii loltee, namaa hilloltu.
"Ofiin hudha," jedhee namichi tushaa mudhiitti hidhatee.
Namni seenaa saba isaa hin beenne, akka nama
hirriiba keessa jiruuti.
Namni si fide, sirraayis akka fudhatu hin dagatiin. 
Namni si hedate, nama bosoqqe dhaabbate.
Namni simbirroo sodaate, mishingaa hin facaasu.
Namni sirba hin beekne hin sirbu, sirbus hin dhiisu. 
Namni soba baay'isu, ka kaahuu keessa amalasaa beeksisa.
Namni uffata qabu, kabajaa qaba.
Namni waa gurguruu bare, haadha gabaa baasee dhaadhessa.
Namni waa hunda kajeelu, takkallee hin argatu.
Namni waa lama hedu, tokkoyyuu dhaba.
Namni waa lama yaadu, gabaa hin ba'u.
Namni, wal argu malee wal hin qoodu.
Namni wal sodaatu, muka wajjiin hin koru.
"Na nyaattu na nyaadhu malee, bishaan ol hin yaa'u waraabuu," jette harreen.
"Na nyaattu na nyaadhu malee, sababa natti hin buyiin," jette harreen waraabessaan.
"Na nyaattu na nyaadhu malee, yaa waraabessaa bishaan lagaa ol hin ya'u," jette harreen.
"Na nyaattu na nyaadhu malee, yaa waru bishaan ol hin yaa'u," jette harreen.
"Na nyaattu nyaadhu malee, yaa waruu bishaan ol in yaa'u", jette harreen.
Na nyaachuushee kan hin beekne, harka dhiqatte.
Ni bareeddi jennaan, intalli ija babaaste.
Ni bullaan, haadha ormaatiin ayyoo nama jechisiisa.
Ni fakkaata, daaraan daakuu.
"Ni ilaalaa?" Jennaan, "ilaaleef argaa?" Jedheen.
Nin beeka jedheeti, namichi saree kolaasee ajjeese.
Niitiin qotiyoo miti, walii hin ergisan. 
Niitiin takka duutu, kan biraati fuudhan.
Niitiin takkee jaalatan, gabaa hin ergani.
"Niitiin tee ilma deesse," jennaan "eenyu nama gootee," jedhe.
"Niitiin tee ulfoofte," jennaan "maaltu ishii raa'ee," jedhe gowwaan.
Niitiin waa lama jaalattu, gabaa hin baatu.
Niitiin, dhirsaa kafna.
Niitiin, dhirsaaf kafana.
Niitiin dhirsa ishii malee, kan biraa goota hin seetu.
Niitiin dhiirsa ishii malee, kan biraa goota in seetu.
Niitiin dhirsa moote, gabaadhaan cal jedhaa jetti. 
Niitiin dhirsa moote, gadi baatee biyya harrabsitii.
Niitiin dhirsa mootu, gabaadhaa na jala deemi jetti.
Niitiin dhirsirraa du'e, niitii nama hafeeti.
Nan jarjara jedheeti, namtich fardarraa bu'ee kaate.
Nan lola jettee, adurreen leenca moccorte.
Nan miidhaga jetteeti, wagala gurrati godhatte gabaa baate.
Nan miidhaga jedhanii, quba ofirraa hin muran.
Nan qaba jettee hin kooriin, nan dhaba jette hin boo'in.
Nan quufaatti, qaama isaa dhabde.
Nan ta'a hin jedhiin si deemsisaa, nan deema hin jedhiin si teechisaa.
Nan dhaladha jetteeti, wal faana yaati.
Nan dhibnii dubbatee, nan himinii kadhate.
Nan nyaadhaan, nama nyaatti.
Naqaarra maqaatu caala.
Na qabutti, atuu han qabaa taate.
Na sobuu manaa, na gobuu wayya.
Of jajjuun gursummaa, mooyyee qoraafte.
Of jajjuun gursummaa, mooyyee qoraaste.
Of jajjuun gursummaa, mooyyee qoraasti.
Of jajjuun gursummaa, mooyyee dhiqxeeti qoraafti.
Of jajjuun gursummaa, xuwweenshii lootii qaba. 
Of jajjuun, nama hin jajju.
Of jajuu yoo barbaadde, biyyaa ba'i.
Of jibbituun, ganna udaan dhuufuutti fixxi.
Of laalanii, nama laaluun bayeessa.
Of mi'eessituun, abbaa manaa afaan keessi.
Of mi'eessituun abbaa manaa afaan keechi.
Of mi'eessituun nadheenii, wabii qawwee taati.
"Of qabi intalaa, ani of hin qabu," jedhe namichi.
Of tiksaa, bonni hin dhahu.
Ofumaa fiddee, ofummaa fixxe.
Ofumaa kaate se'a, fardi kophaa kaate.
Ofiin tapha, sareen qabaa dhaqxi.
"Ofiin taphattuun, gutichaa hodhiti," jedhan.
Ofiinuu duutii, maaliif of huuti.
Ofiinuu duutti, maa of huuti.
Ofiinuu hin galtu, orma tirsiti.
Ofiin dhufaa harree, ba'aa itti guddisani.
Ofii qabachuuf ofii jabaachuu, kan gawu hin jiru.
"Ofii raaree dhaqxeeti, na harkisan," jette niitiin machoofte.
Ofii waaqa baatee, ana gadi na laalte.
Ofii wallaalan, beekaadhaan mari'ata.
"Ofii dha'ee na dha'e," jedhe Kennee Geergoo
Of ilaaltee, nama hin ilaaltu.
Ofirra, naman jaalatan.
Ofirroon, ofuma dhiirsa seeti.
Ofitti gortuun 'aannan weessoo dhugdi.
Namni niitil lamaa yaadu, rafee wayaan hangate.
Namni niitii lama qabu, hin fayyu.
Namni niitii sodaatu keessummaa wajjin hin galu,
Namni niitii yartuu, keessummaa hin galchu.
Namni niitii yartuu, keessummaa mana hin galchu,
Namni niitii yartuu, keessummaan hin galu.
Namni oduu bare, utubaa raasaa bula.
Namni oduu bare, utubaatti ususa.
Namni oduu jaalatu, karaarratti na awwaalaa jedha
Namni of arge, nama hin argu.
Namni of jaju, mannisaa karaarra.
Namni of hin agarre, namatti kolfa. 
Namni of hin argine, namatti kofalti.
Namni ofii hin taane, gandaa hin ta'u.
Namní ofii hin tolle, namaaf hin tolu.
Namni ofii rafaa bule, kan taa'aa buleef hin beeku.
Namtichi fayyaa hin qabne, hiyyeessa. 
"Nan argan" jettee, haadha ofii kabalte. 
Nan beeka hin jedhiin, kan si caalaa beekutu jiraa.
Nan beeka jetteeti, niitiin qeesii macaafa dhiqxe.
"Nan beeka" jedhee, namichi saree kolaasee
Nan bulaaf, sareen udaan qabaneeffate nyaatti.
Nan bula hin jedhiin si galchaa, nangala hin jedhin si bulchaa.
Nan caala jettee, niitiin qeesii kitaaba dhiqxe.
"Nan duula male hin galu," jedhe bishaan.
"Nan ga'ee, na kennaa" jette intalli.
Nan hafiin warra baddaa, sa'a tokkof hora bu'a.
"Nan hima malee, nan himimsaa" jedhe sangaan fardaa.
"Nan jarjara jette," jaartiin gorboo buutee.
Namni ofii nyaatu, hiyyeessaa hin yaadu.
Namni okkotee gandaati margate, hin duguuggatu.
Namni okkotee namaati marqate, hin duguuggatu.
Namni okkotee ormaatti marqate, marga hin duguuggatu.
Namni qabee uratetti elme, nama guuree dhangalaase.
Namni qalbii du'e, hin fayyu:
Namni qooraa hagu, kan alba'uu hin nahu.
Namni qotee hin quufne, nama daangaa dhiibu.
Namni quufe, rabbitti dhuufe.
Namni qurxummii barbadu, naacha fuudha.
"Namni rakate, bineensaan ilma naaf qabi," jedhe.
Namni rakkate, boolla jawwee quba kaa'a.
"Namni rakkate, waraabessaan daa'ima naa qabi," jedhe.
Ofiifuu du'uufi, maa of huutii.
Ofiifuu hin galtuu, harreen sa'aan galti.
Ofiifuu hin galtuu, harreen saawwa barbaada deemti.
Ofiifuu hin galtuu, lukkuun looniin galti.
Ofiifuu hin hatti, maaliif of hatti.
Ofiifuu hin qabduu, billaachoon dhagaatti uwwifti,
Ofiifuu hin qabduu, gandatti uwwisti.
Ofiifuu waan uffattu hin qabduu, dhagaa uffisti billaachi.
Ofil gabbachuu, ofii jabeeffachuu.
Of himbeekneen, du'a obboleessaa cidha godhatti.
Of hin dagattu yaa durbaa ammaa, 'eelee jalli xuwweedha.
"Ofii hin galtu, looniin galaa," jette hareen.
Ofii hin qabdu, billaancon dhagaatti uwwisti.
Namni maraateefi namni machaa'e, tokko.
Namni mataasaatiif hin tolle, namaaf hin tolu.
Namni moluu qabu, bakka itti tolu hin qabu.
Namni mooyyeerra taa'u, kabaja hin qabu.
Namni nama arrabsu, nama hin faarssu.
Namni, nama caala.
Namni namaa gadii, jeechi namaa oli.
Namni, nama gurraacha.
Namni namaa hin goone, waa nama gooti.
Namni namarra jiru, ciiseeti nama dhiita.
Namni nama dhabe, muka nama se'a.
Namni ni du'a malee, of hin awwaalu.
Namni niitii bade, hin fayyu.
Namni niitii dubbattuu qabu, galgala jibba.
Namni niitii hamtuu, qaata mana keessa dullooma.
Namni niitii hin qabne, noorii hiriyaa hin qabu.
Namni kofla guddatu, gaafa du'eellee kanuma ko fakkaata.
Namni kuukka'eefi namni gufuun dhahe, hin dheessu.
Namni lafa bule, dubbii hin wallalu.
Namni lafarratti walintaane, muka wajjin hinkoru 
Namni lafatti wal sodaate, muka wajjin hin koru.
Namni laga hin agarre, corroqa galateeffata.
Namni mana citaa keessatti galu, mana namaa hin gubu.
Namni mana tokko ijaaru, citaa wal hin saamu.
Namni mana tokko ijaaru, quncee wal hin saamu. 
Namni mana tokko ijaaru, citaa wal hin saamu. 
Namni mana tokkicha ijaaru, citaa wal hin saamu. 
Namni mannisaa dhimmisu, ganna jibba.
Namni manni dhimmisu, ganna jibba.
Namni gubatee hin beekne, hibidaan taphata.
Namni guyyaa bofaa arge, halkan quncee dheecha
Namni guyyaa bofa arge, halkan teepha baqata. 
Namni guyyaa bofa arge, halkan teepha dheessa,
Namni guyyaa bofa arge, halkan teepha dheecha.
Namni haasaa bare, odoo kaatuu odeessa.
Namni haadha hin qabne, bakka garaa ofii hin ga'u, 
Namni hamma fardaa nyaatu, gaafa hamma namaa nyaate rakkata.
Namni hamma fardaa nyaatu, gaafa hamma namaa nyaatu rakkata. 
Namni hamma fardaa nyaatu, hamma namaa yoo nyaate du'a.
"Of ajjeesee Maccatti galuu," Jennaan, "lama hin
dhaqqabduu takkatti gori," jedheen.
Of beektuun, soddaa lagatti.
Of beettu, soddaa lagatti.
"Of 'eeggachaa, boolla qotachaa," jette hantuunni.
Of him beekneen, du'a obboleessaa cidha godhatti, 
Of him beektu, sanyoo seeteeti dhirsa dhungatti. 
Of him beektuun, galtee dhirsaa dhungatte.
Of hin dhalani, guddifatan abbaatti him baatu.
Of hubatan malee, goommana hin lagatan.
"Of hudhuun kanuma," jetteeti barcumatti of huute.
Ofii ba'an, gandaa birmatan.
Ofii ba'an, gandaaf iyyan.
Ofii ba'ani, gandaa iyyani.
Ofii ba'an, gandaa mirmatan.
Ofii bahan gandaa iyyan.
Namni hamaa wajjin dhalate, hamaa ta'a.
Namni hamataan, nama biraa hin dhabamu.
Namni hanna bare, harka isaa kutanillee hin dhiisu. 
Namni kan darbe hin beekne, kan dhufu hin beeku.
Namni harree hin qabne, gaangee namaabusheessa.
Namni hiikaa jarjaru, hiikaa beela'a.
Namni hin baranne, akka bishaan yaa'ati.
Namni hin nyaanne hin jiru, kan nyaatee hin quufnetu hamaadha.
Namni hojii bare, abjuudhaan dhagaa dhiiba.
Namni hojii hin qabne, dhagaa sitti guura.
Namni hojii hin qabne, dhangaalasee guura.
Namni hokkotee gandaatti margate, hin duguugattu.
Namni hoo du'e malee, maqaan hin du'u.
Namni bofa arge, quncee dheessa.
Namni bofa arge, quncee dheecha.
Namni bofa sodaatuu, quncee dheessa.
Namni bofa harge, quncee dheeffa.
Namni boru ijji baddu, arra duubaan deema.
Namni boru maraatu, eger dhagaa darbata.
Namni bultii tokko nama dura jiru, dubbii tokko nama dura beeka.
Namni cabsoo namaa baree, farda namaatiin wushee jedha.
Namni cubbuu godheef namani harree hate, hin siqu.
Namni dhabaan nyaataaf yoo waaman, ergaadhaaf jedheeti dida.
Namni daa'imaa wajjin buttaa qale, lammata buttaa mgala.
Namni gabaabaan, osoo kabaja hin arganne du'a.
Namni gadduufi ragadu, walitti hin malan.
Namni gaafa hiyyoolee duude, hiyyoolee jedhaa jiraata.
Namni gaafachuu bay'ise, du'a haadhasaa dhaga'a.
Namni galaaf ka'e, nama galaafata.
Namni gaala hate, gadi jedhee hin deemu
Namni gaarii hin jibbu, gaariituu nama jibba malee 
Namni galaanni fuudhe, hoomacha qaqqabata.
Namni gadheen, bakka ofii taa'e nama teechisuu kajeela,
Namni gidiraa godhuufi namni harree fe'u, hin siqu.
Namni galaa ka'e, dhaamsa dhadhaammata.
Namni gowwaan, duruma abbaatti odeessa.
Namni gubatee hin beekne, abiddaan taphata.
Obsa dhabaaf, kajeeltuu ta'an.
Odoo baaxii arganuu, gaayyaa xuuxu.
Odoo bakka kee hin hubatiin, goommana hin lagatiin.
"Odoo beeknuu, fura wajjin" jette sareen. 
"Odoo beeknuu, huuba wajjin" jette sareen.
"Odoo beeknuu, huuba wajjin nyaanna" jette sareen.
"Odoo beeknuu, huuba wajjin nyaanne" jette sareen.
"Odoo beektee, nattuu hin duttu" jedhe qeerransi sareedhaan.
"Odoo beennuu, huubaa wajjin nyaanna" jette sareen.
"Odoo beennuu, 'uuba wajjin" jette sareen.
"Odoo dammi amma gundoo gayee" jennaan, "odoo
ilkeen amma maroo ga'ee," jette kaniisni.
"Of jaalataan, fuula haxaawwata," jette adurreen.
Of jaalataan, nama jaalata.
Of jaalatan, fuula axaawwatan.
Of jaalatan malee, fuula hin dhiqatan.
"Of jaalatan malee, fuula hin haxawwatan," jette adurreen.
Of jajaa abbaa waraa, surreen balbala hin dabartu.
Of jajaan keessummaa, abbaa warraatiin "naa nyaadhaa", jedha.
Of jajaan, loon lama tikseen kudha lama.
Of jaja gursumaayaa, yoo seentu mooyyee qoraafti, yoo baatu saree kolaafti.
Of jaja garbuu gurraachaa, odoo hin daraariin asheeta.
Of jaja nadheen gursummaa, mooyyee dhiqxee qoraafte.
Namni ilkaan hin qabne, foonitti maraata. 
Namni ilma dhabe, intala taphachiisa.
Namni ilma dhabe, intala taphisiisa.
Namni ilmoon duraa duute, dhalchee hin quufu se'a.
Namni jiila qabu, hin jarjaru.
Namni jiidhe, roba hin sodaatu.
Namni, jireenya isaa fakkaata.
Namni jiru, waa arga.
Namni kan darbe hin yaanne, kan dhufu hin yaadu.
Namni kan darbe hin yaanne, kan dhufus hin yaadu.
Namni nyaatu hin argu, kan uffatu malee.
Namni kadhaa bare, abjuudhaan ganda labata.
Namni kadhaa bare, abjuun qanqalloo baata.
Namni kadhaa bare, abjuudhaan qalqalloo baachaa bula.
Namni kobootaan nama darbate, dhagaa nama darbachisa.
"Oduma beeknuu, huubaa wajjin," jette sareen.
"Oduman 'aaduun du'a," jette uummoo..
"Oduman asumaa munyuuquu, waranbessi na nyaate," jette injiraan.
"Oduman beekuu, huuba wajjin," jette sareen. 
"Oduman kolfuun gubadha," jette talbaan.
"Oduu beeknuu, huuba wajjin," jette sareen.
"Oduu beennuu, huuba wajjin," jette sareen.
"Oduu beettee,nattuu hin duttu," jedhe qeerransi sareedhaan.
"Oduuf ala bulee," jette tafkiin.
Oduun, abbaa qabeef sirna.
Oduuniifi solloqiin,gammoojjiidhaa ba'an.
Oduun, soora gurraati.
"Oduu tolee boora kootu na baata, cacabsa baadha," jette jaartiin.
Namni hoolaa hin qabne, sardiida bineensa hin je'u.
Namni horii ormaa hiru, donnummaa hin qabu.
Namni horii qabu, gosa qaba.
Namni hudduu kooban, dhuufuu namaa galaasa. 
Namni ibsaa harkaa dhabe, daaratti fuula siilessa
Namniifi laft,i hin qulqullaa'u.
Namni ijaa badu, gurraa hin badadu.
Namni ija takkaa, biyyeedhaan hin taphatu.
Namni ija takka qabu, biyyeen hin taphatu.
Namni ija tokko hin qabne, biyyeedhaan hin taphatu. 
Namni ija tokkoo, biyyeen hin taphatu.
Namni ija tokkoo, biyyeedhaan hin taphatu.
Namni ija tokkoofi namni niitii tokkoo, takkuma du'a.
Namni ija tokko qabu, biyyeen hintaphatu.
Namni ja tokko qabu, biyyeedhaan hin tabatu
Namni ija tokko qabu, biyyoon hin taphatu.
Niitiin gandarra deemtu yookaan maqaa fudhattii, yookaan hudduu gubatti
Niitiin hamtuun, dhirsa ofii qonyeessite.
Niitiin harreedhaa, dhiirsa waraabessarraa dhoowwu hin qabdu.
"Niitiini ciniinfannaani dhirsaan hin kakatiin," jetteen.
"Niitiin irsa moote, gabaadhaan cal jedha," jetti. 
Niitiin, irsatti kafana.
"Niitiin kee dhaltee" Jennaan, "eenyuun dhiira gootee," Jedhe namichi.
Niitiin marii malee fuudhan, marii malee baati.
Niitiin nugusa beektee jennaan, mooyyeetti bishaan tumte.
Niitiin qeensaan huuba jette, quba ofitti keesse.
Niitiin qeerransaa, deerootti heerumti.
Namni amma fardaa nyaatu, gaafa amma namaa nyaatu du'a.
Namni amma fardaa nyaatu, gaafa amma namaa nyaate hin du'a.
Namni amma jaalatu beeka malee, amma jaalatamu hin beeku.
Namni arraba qabu, xaafii akkaaya.
Namani ayyaana saree dhalate, osoo qabuu kajeela.
Namni ayyaana saree dhalate, utuu qabuu kajeela.
Namni bakka ciisu argate, bakka diriirfatu barbaada.
Namni, bakkuma nyaate hooqqata.
Namni bara baasan, bara namatti ba'a.
Namni bara baasan, ija namatti baasa.
Namni bara dhufu du'u, barana ija babaasa.
Namni hamma shunburaa jaalatan, hamma gaayyoo nama cabsa.
Nanmi hamma shumburaa jaalatan, hamma gaayyooti nama cabsa.
Namni harree hin qabne, gaangee namaa busheessa.
Namni ija tokkoo, biyyee waliin hin taphatu.
Namni ija tokko, cirraachaan hin taphatu.
Namni lafatti walsodaatu, muka wajjin hin koru.
Namni olkaachuu dadhabe, gadi kaachuu hin dadhabu.  
Namni ala guddatu, mana xinnaata.
Namni alaa nyaatu, haatee duute jennaan kofle.
Namni akka fardaa nyaatu, gaafa akka namaa nyaate bada.
Namni bara dhufu maraatu, barana dudubbata.
Namni beela'e, waan quufu hin se'u.
Namni beela'e, waan quufu hin se'u tan quufemmoo, waan beela'u hin se'u.
Namni beelaye, kan quufu hin sehu.
Namni beelaye, waan quufu hin se'u.
Namni biqila manaa qabu, waan biqila badee hin dubbatu.
Namni biyyaa ba'e, hin sirbu.
Namni biyyaa bahe, takka dabraa hin du'u.
Namni biyya hin qabne, bakka itti kolfu dhiisii bakanitti boowuf hin rakkata.
Namni, biyyasaarratti ejersa.
Namni bishaan nyaate, hoomacha qabata.
Namni bobba'a bade, galas hin tolu.
Namni bofa arge, lootuu dheeffa.
Quuqaa siree, abbaa afu miti abbaa irra rafutu beeka.
Quuqaa siree, abbaa afu miti abbaa rafutu beeka.
Quuqaa siree, kan rafutu beeka.inluu
Namni akka fardaa nyaatu, gaafa akka namaa nyaatu du'a.
Namni akka fardaa nyaatu, gaafa akka namaa nyaatu rakkata.
Namni akka fardaa nyaatu, gaafa hamma namas nyaatu du'a.
Namni, akka mana ofiiti bula. inma
Namni akka manasaatti malee, akka ollaatti hin bulu.
Namni akka ofii beeku, gara gileensaa hintaa'u.
Namni akka ofii beeku, ollaa ol hin lallabatu.
Namni akka ofii beeku, alaa ol hin lallabu. 
Namni akka walii argu malee, walitti hin michaa'u. 
Namni akka shumburaa jaallatan, akka gaayyootti nama cabsa.
Namni akka shunburaatti jaalatan, akka gaayyootti nama cabsa.
Namni abbaa beekan, nama hin arrabsu.
Namni Abbayiin hin agare, burqaa 'eebbisaa.
Namni Abbayya hin argiin, burqaa galatteeffata.
Namni Abbayiin hin agarre, burqaa 'eebbisaa, 
Namni afaanii daakuu qabu, hin dubbatu.
Namni afaan qabu, afaa hin dhabu.
Namni afaan daakuu, hin dubbatu.
Namni akkaawwii nyaate, harka arrabbata.
Namni akka fardaatti nyaatu, gaafa akka namaatti nyaatu du'a.
Namni amala qabu, bineensa wajjin bula.
Namni bara dhuftu maraatu, barana dhakaa darbata.
Namni bofa arge, quncee dheensaa.
Namni gowwaa gorse, nama dhakaarrati fincaayeedha.
Nama haati duute, mataa hin hoogan.
Nama halkan kana buletu, kan boruu yaada.
Nama hamaa, duuti lama.
Nama hiiqa qabuuf, marqaan bishaan fuudha.
Nama hilkaan hin qabne, fooniif maraacha.
Nama hin beekneef, doobbiin baala.
Nama hin beeknerra, Seexana beekan wayya.
Nama hin beekneetti, guyyaan halkani.
Nama hin taane abdachuun, saree foon 'eegsisudha.
Nama hin taane garaa itti himachuun, gingilchaadhaan bishaan waraabuudha.
Nama hiyyeessaa humaa hin goonetu, hiyyeessa mataa qaqqaba.
Nama, hojiisaa darberraa ilaalanii baran.
Nama ilkaan hin qabneef, Waaqatu alanfata.
Naafa, akka du'etti awwaalan.
"Naaf tolte," jedhe maraataan iyya dhagaye.
Naa jettu bushayi, ofii jettu mi'ayi.
Naa kennaa kan si beessise, hoodhuu maa wallaalte.
Naaqaliifillee hin bootti, qalaniifillee orma soorti
"Naa ta'uu dinnaanan, lukan hooqqadha" jette sareen.
